Lapsi,Child
Ystävä,Friend
Tyttö,Girl
Poika,Boy
Sisko,Sister
Herra,Mr
Rouva,Mrs
Isä,Father
Mies,Man
Nainen,Woman
Ihminen,Human
Äiti,Mother
Veli,Brother
Ukki,Grandpa
Mummo,Grandma
Vauva,Baby
Perhe,Family
Pikkuveli,Little brother
Pikkusisko,Little sister
Isosisko,Older sister
Isoveli,Older brother
Serkku,Cousin
Täti,Aunt
Bonuslapsi,Bonus Kid
Poikaystävä,Boyfriend
Tyttöystävä,Girlfriend
Mummo,Grandmother
Vaari,Grandfather
Vaimo,Wife
Tytär,Daughter
Eno,Uncle on mother's side
Setä,Uncle on father's side
Naimisissa,Married